BusinessEntityID,NationalIDNumber,LoginID,JobTitle,BirthDate,Gender,HireDate,VacationHours,SickLeaveHours,Name,GroupName,Name,StartTime,EndTime,StartDate,EndDate,ModifiedDate
1,295847284,adventure-works\ken0,Chief Executive Officer,1963-03-02,M,2003-02-15,99,69,Executive,Executive General and Administration,Day,07:00:00.0000000,15:00:00.0000000,2003-02-15,NULL,2003-02-14 00:00:00.000
2,245797967,adventure-works\terri0,Vice President of Engineering,1965-09-01,F,2002-03-03,1,20,Engineering,Research and Development,Day,07:00:00.0000000,15:00:00.0000000,2002-03-03,NULL,2002-03-02 00:00:00.000
3,509647174,adventure-works\roberto0,Engineering Manager,1968-12-13,M,2001-12-12,2,21,Engineering,Research and Development,Day,07:00:00.0000000,15:00:00.0000000,2001-12-12,NULL,2001-12-11 00:00:00.000
4,112457891,adventure-works\rob0,Senior Tool Designer,1969-01-23,M,2002-01-05,48,80,Engineering,Research and Development,Day,07:00:00.0000000,15:00:00.0000000,2002-01-05,2004-06-30,2004-06-28 00:00:00.000
4,112457891,adventure-works\rob0,Senior Tool Designer,1969-01-23,M,2002-01-05,48,80,Tool Design,Research and Development,Day,07:00:00.0000000,15:00:00.0000000,2004-07-01,NULL,2004-06-30 00:00:00.000
5,695256908,adventure-works\gail0,Design Engineer,1946-10-29,F,2002-02-06,5,22,Engineering,Research and Development,Day,07:00:00.0000000,15:00:00.0000000,2002-02-06,NULL,2002-02-05 00:00:00.000
6,998320692,adventure-works\jossef0,Design Engineer,1953-04-11,M,2002-02-24,6,23,Engineering,Research and Development,Day,07:00:00.0000000,15:00:00.0000000,2002-02-24,NULL,2002-02-23 00:00:00.000
7,134969118,adventure-works\dylan0,Research and Development Manager,1981-03-27,M,2003-03-12,61,50,Research and Development,Research and Development,Day,07:00:00.0000000,15:00:00.0000000,2003-03-12,NULL,2003-03-11 00:00:00.000
8,811994146,adventure-works\diane1,Research and Development Engineer,1980-07-06,F,2003-01-30,62,51,Research and Development,Research and Development,Day,07:00:00.0000000,15:00:00.0000000,2003-01-30,NULL,2003-01-29 00:00:00.000
9,658797903,adventure-works\gigi0,Research and Development Engineer,1973-02-21,F,2003-02-17,63,51,Research and Development,Research and Development,Day,07:00:00.0000000,15:00:00.0000000,2003-02-17,NULL,2003-02-16 00:00:00.000
10,879342154,adventure-works\michael6,Research and Development Manager,1979-01-01,M,2003-06-04,16,64,Research and Development,Research and Development,Day,07:00:00.0000000,15:00:00.0000000,2003-06-04,NULL,2003-06-03 00:00:00.000
11,974026903,adventure-works\ovidiu0,Senior Tool Designer,1972-02-18,M,2005-01-05,7,23,Tool Design,Research and Development,Day,07:00:00.0000000,15:00:00.0000000,2005-01-05,NULL,2005-01-04 00:00:00.000
12,480168528,adventure-works\thierry0,Tool Designer,1953-08-29,M,2002-01-11,9,24,Tool Design,Research and Development,Day,07:00:00.0000000,15:00:00.0000000,2002-01-11,NULL,2002-01-10 00:00:00.000
13,486228782,adventure-works\janice0,Tool Designer,1983-06-29,F,2005-01-23,8,24,Tool Design,Research and Development,Day,07:00:00.0000000,15:00:00.0000000,2005-01-23,NULL,2005-01-22 00:00:00.000
14,42487730,adventure-works\michael8,Senior Design Engineer,1973-07-17,M,2005-01-30,3,21,Engineering,Research and Development,Day,07:00:00.0000000,15:00:00.0000000,2005-01-30,NULL,2005-01-29 00:00:00.000
15,56920285,adventure-works\sharon0,Design Engineer,1955-06-03,F,2005-02-18,4,22,Engineering,Research and Development,Day,07:00:00.0000000,15:00:00.0000000,2005-02-18,NULL,2005-02-17 00:00:00.000
16,24756624,adventure-works\david0,Marketing Manager,1969-04-19,M,2002-01-20,40,40,Purchasing,Inventory Management,Day,07:00:00.0000000,15:00:00.0000000,2002-01-20,2003-08-15,2003-08-13 00:00:00.000
16,24756624,adventure-works\david0,Marketing Manager,1969-04-19,M,2002-01-20,40,40,Marketing,Sales and Marketing,Day,07:00:00.0000000,15:00:00.0000000,2003-08-16,NULL,2003-08-15 00:00:00.000
17,253022876,adventure-works\kevin0,Marketing Assistant,1981-06-03,M,2001-02-26,42,41,Marketing,Sales and Marketing,Day,07:00:00.0000000,15:00:00.0000000,2001-02-26,NULL,2001-02-25 00:00:00.000
18,222969461,adventure-works\john5,Marketing Specialist,1972-04-06,M,2005-03-10,48,44,Marketing,Sales and Marketing,Day,07:00:00.0000000,15:00:00.0000000,2005-03-10,NULL,2005-03-09 00:00:00.000
19,52541318,adventure-works\mary2,Marketing Assistant,1972-03-01,F,2005-03-17,43,41,Marketing,Sales and Marketing,Day,07:00:00.0000000,15:00:00.0000000,2005-03-17,NULL,2005-03-16 00:00:00.000
20,323403273,adventure-works\wanida0,Marketing Assistant,1969-04-17,F,2005-02-07,41,40,Marketing,Sales and Marketing,Day,07:00:00.0000000,15:00:00.0000000,2005-02-07,NULL,2005-02-06 00:00:00.000
